,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
93,Need Your Love So Bad,Blues For Greeny,Gary Moore,1995-01-01,475440,42,0.457,0.333,0.457,0.309,0.0248,0.0657,-12.719,0.0298,131.41,3
94,Over You,Echoes,Mike Andersen,2010-05-17,242000,27,0.732,0.702,0.732,0.384,0.00245,0.139,-12.861,0.051,101.805,4
95,Three Hours Past Midnight,Colin James And The Little Big Band,Colin James,1993-01-01,368466,38,0.515,0.61,0.515,0.684,0.00328,0.0382,-7.064,0.0335,78.546,3
96,Nice And Warm,Nice And Warm,Tab Benoit,2006-01-01,438240,29,0.496,0.333,0.496,0.265,0.0936,0.114,-15.941,0.0979,142.677,3
97,New York City,New York City,Norah Jones,2003-07-08,307160,7,0.696,0.137,0.696,0.486,0.00469,0.145,-8.668,0.0259,89.196,4
98,When She Dances,Had to Cry Today,Joe Bonamassa,2004-08-24,293706,23,0.447,0.022,0.447,0.358,0.044,0.248,-10.818,0.0291,103.68,4
99,Falling,Juice Me Up,Dani Wilde,2012-02-17,303600,36,0.441,0.481,0.441,0.503,2.15e-06,0.085,-5.706,0.0325,134.134,3
100,The Man Wants Me Dead,Throw Away The Book,Byther Smith,2004-01-20,301306,25,0.545,0.648,0.545,0.472,0.00789,0.224,-7.964,0.034,179.749,4
101,Fool's Paradise,Bringing It Back Home,Robben Ford,2013-02-15,337413,25,0.637,0.758,0.637,0.301,0.00162,0.093,-13.247,0.0412,94.449,3
102,I Wouldn't Tread a Dog,Compared to What ...?,Gregor Hilden,2011-08-25,274573,24,0.751,0.58,0.751,0.51,0.00289,0.118,-7.276,0.0303,110.971,4
103,Shot Gun Blues - Live,Briefcase Full of Blues,The Blues Brothers,1978-11-01,322266,34,0.391,0.549,0.391,0.665,0.00501,0.716,-7.827,0.127,168.742,3
104,Salt In My Wounds,Turn The Heat Up,Shemekia Copeland,1998,253066,0,0.718,0.513,0.718,0.347,0.00941,0.282,-9.359,0.0311,107.076,4
105,"Darling, You Know I Love You",BB King Jamming,B.B. King,2006-12-05,308906,0,0.419,0.419,0.419,0.388,0.698,0.945,-13.236,0.0333,95.058,3
106,I Used to Love You,Change My Game,Thorbjørn Risager,2017-01-20,230687,27,0.59,0.28,0.59,0.659,0.00226,0.373,-4.966,0.0488,176.229,4
107,Brown Paper Bag,Don't Call No Ambulance,Selwyn Birchwood,2014-06-10,556906,0,0.534,0.067,0.534,0.487,0.126,0.116,-6.288,0.0327,94.37,3
108,Empty Promises,Iron Man,Michael Burks,2009-06-18,375560,0,0.374,0.271,0.374,0.599,0.0131,0.0885,-3.117,0.0338,136.891,4
109,Part of me,A Part of Me,Tom Principato,2010-10-19,324720,14,0.438,0.214,0.438,0.538,7.56e-05,0.148,-6.737,0.0293,149.798,3
110,She Gets Me,Midnight Highway,Quinn Sullivan,2017-01-27,282213,19,0.425,0.12,0.425,0.662,2.32e-05,0.112,-5.456,0.0362,90.226,4
111,The Prophet,Blues For Gary,Henrik Freischlader,2017-04-04,388482,38,0.32,0.423,0.32,0.204,0.838,0.286,-10.41,0.0313,137.961,3
112,Different Shades of Blue,Different Shades of Blue,Joe Bonamassa,2014-09-22,279226,37,0.5,0.176,0.5,0.671,0.000307,0.105,-4.366,0.0294,79.896,4
113,Forgotten Memory,Book of Shadows II (Bonus Track Edition),Zakk Wylde,2016-05-06,229075,0,0.552,0.778,0.552,0.549,0.0,0.137,-7.744,0.0291,138.099,4
114,"Good Days, Bad Days",Suspicion,Coco Montoya,2000,304226,0,0.548,0.242,0.548,0.486,0.000117,0.245,-7.085,0.0287,145.459,4
115,Out of My Mind - Live In Concert,TRY!,John Mayer Trio,2005-09-19,459200,38,0.496,0.678,0.496,0.364,0.175,0.351,-10.579,0.0439,96.356,3
116,You Ain't Coming Home,Not Over Yet,Albany Down,2013-04-08,396350,19,0.484,0.000764,0.484,0.668,0.00467,0.123,-3.697,0.0283,150.06,3
117,Tell Me,Tell Me,Meena,2014-04-25,295746,32,0.556,0.882,0.556,0.253,0.00939,0.104,-12.391,0.0286,152.783,3
118,One Day Away (feat. Keith Urban),Rhythm & Blues,Buddy Guy,2013-07-29,224280,30,0.523,0.525,0.523,0.695,9.33e-06,0.168,-5.947,0.0333,170.105,4
119,The Devil's Daughter,Rhythm & Blues,Buddy Guy,2013-07-29,314026,26,0.522,0.384,0.522,0.733,0.0915,0.0664,-6.286,0.0284,84.101,4
120,Sunny Weather,Still The Rain,Karen Lovely,2010-08-17,251373,20,0.67,0.38,0.67,0.416,0.0131,0.13,-8.129,0.0278,79.528,4
121,Linda,I Like It When It Rains,Ronnie Earl,2012,293933,0,0.659,0.587,0.659,0.198,0.635,0.109,-18.337,0.0411,101.61,4
122,Red Wine Blues,After Paradise,Snowy White,2012-11-16,284289,29,0.548,0.433,0.548,0.376,0.462,0.353,-16.703,0.057,86.097,4
123,Sunrise,Medicine,Tab Benoit,2011-05-17,225506,18,0.703,0.21,0.703,0.379,0.2,0.0811,-7.251,0.0445,96.219,3
124,Lowdown Dirty Shame,Blues On the Run (Blues Power),Melvin Taylor,2014-01-01,452653,30,0.506,0.0526,0.506,0.181,0.0211,0.0669,-22.992,0.0667,170.648,3
125,Mother's Love,New Orleans Blues,Earl King,2006-03-28,163293,37,0.572,0.512,0.572,0.552,0.00825,0.0836,-9.134,0.0507,95.06,3
126,Jumping at Shadows,Blues For Gary,Henrik Freischlader,2017-04-04,300124,34,0.711,0.47,0.711,0.371,0.000967,0.109,-7.295,0.0323,119.843,3
127,Asking Around for You,You & Me,Joe Bonamassa,2006-06-06,257626,26,0.263,0.435,0.263,0.633,0.0017,0.313,-5.232,0.0307,147.221,3
128,Cadillac Assembly Line,"Plays the Blues for You (feat. Lucky Peterson, Titus Williams, Ray ""Killer"" Allison) [Blues Power]",Melvin Taylor,2014-01-20,318333,43,0.735,0.656,0.735,0.355,0.094,0.119,-19.032,0.0387,93.553,4
129,Can't Find My Way Home (feat. Eric Clapton),Nathan East,Nathan East,2014-03-25,332666,39,0.527,0.868,0.527,0.344,0.14,0.0842,-14.171,0.0298,86.022,4
130,"Have You Ever Loved a Woman - Live at Staples Center, Los Angeles, CA, 8/18 - 19/2001","One More Car, One More Rider",Eric Clapton,2002,473466,32,0.492,0.0335,0.492,0.498,0.0516,0.959,-9.26,0.0305,97.865,3
131,Loan Me A Dime,On The Blue Side,Dave Meniketti,1998,572133,38,0.43,0.0198,0.43,0.747,0.0114,0.0669,-5.38,0.0362,143.896,3
132,Stone Cold (feat. Tina Arena and Joe Bonamassa),Hindsight,Jimmy Barnes,2014-10-24,412333,31,0.351,0.0476,0.351,0.48,0.00289,0.134,-5.367,0.0283,173.127,3
133,Don't Think Twice,Five Star Blues Rock,Various Artists,2016-11-08,292000,0,0.648,0.483,0.648,0.301,0.0,0.201,-14.621,0.0346,73.13,4
134,Memory Lane,Livin’ On Love,Deborah Coleman,2001-05-22,248546,18,0.646,0.502,0.646,0.542,0.000159,0.291,-6.692,0.0256,98.342,4
135,Motel Blues,Saguitar,Alvin Lee,2007,321746,39,0.706,0.799,0.706,0.31,0.902,0.115,-10.203,0.0309,89.992,4
136,Coast Blues,Blow'n The Blues,Various Artists,2000-01-01,442000,16,0.347,0.358,0.347,0.441,0.624,0.205,-11.847,0.0276,67.481,1
137,Devil At My Door,Blues With A Mood,Big Bill Morganfield,2013-02-07,271178,16,0.577,0.461,0.577,0.54,0.0883,0.0719,-9.13,0.0394,113.442,3
138,Taking The Long Way Home,The Search Is Over,Deitra Farr,1997-07-15,412400,18,0.452,0.054,0.452,0.496,6.4e-06,0.227,-8.623,0.0304,150.662,3
139,Empty Promises,Dismantle the Sun,Eric Steckel,2012-10-31,518213,27,0.413,0.0414,0.413,0.683,0.277,0.142,-6.004,0.0348,122.41,4
140,As The Years Go Passing By,Mighty Joe Young,Mighty Joe Young,2002-04-23,284666,21,0.525,0.128,0.525,0.548,0.0394,0.178,-11.578,0.0619,175.487,3
141,Teardrops,Good Luck Man,Carey Bell,1997,428266,0,0.507,0.351,0.507,0.243,0.02,0.0669,-13.192,0.0284,133.874,3
142,Let's Straighten it Out,Bronk,Bronk,2011-06-27,433066,36,0.681,0.431,0.681,0.458,0.213,0.155,-10.281,0.0611,78.611,4
143,As the Years Go Passing By (with Booker T. & The MG's) - Live,My Time: A Boz Scaggs Anthology (1969-1997),Boz Scaggs,1997,283826,32,0.524,0.623,0.524,0.297,0.000677,0.701,-12.615,0.0328,88.639,3
144,Don't Whisper,Talking To Strangers,Shemekia Copeland,2002,286333,0,0.471,0.389,0.471,0.423,0.0,0.104,-7.073,0.0403,143.179,3
145,Wayfaring Pilgrim,The Definitive Collection,Roy Buchanan,2006-01-01,304893,0,0.337,0.221,0.337,0.253,0.686,0.247,-14.77,0.031,169.436,3
146,Heart of Glass,Just for Today,Ronnie Earl,2013-04-09,417880,0,0.398,0.584,0.398,0.311,0.141,0.73,-10.194,0.0436,77.801,3
147,Alchemy,Peace Machine,Philip Sayce,2009-06-29,306666,0,0.552,0.03,0.552,0.544,0.672,0.183,-6.418,0.0279,114.897,3
148,On That Morning,Bringing It Back Home,Robben Ford,2013-02-15,434346,43,0.853,0.733,0.853,0.249,0.578,0.0938,-16.119,0.0451,107.02,4
149,All I Want Is You,Blues for the Modern Daze,Walter Trout,2012-04-20,321333,18,0.66,0.318,0.66,0.41,0.146,0.105,-11.083,0.0307,132.117,4
150,What Am I To You?,Feels Like Home,Norah Jones,2004-01-01,210000,63,0.651,0.694,0.651,0.347,0.0249,0.11,-9.175,0.0341,75.978,4
151,All Night Long,Barwalkin',Chris Beard,1997-06-24,375866,40,0.587,0.729,0.587,0.38,0.00267,0.123,-9.17,0.0273,82.566,3
152,Are You Sorry? - remastered,The Best Of Tinsley Ellis,Tinsley Ellis,2015-01-14,461654,0,0.429,0.0459,0.429,0.476,0.00999,0.321,-7.64,0.0362,142.41,3
153,A Fool For Your Stockings,Sonny's Blues,Sonny Moorman,2003-01-01,392333,23,0.443,0.0399,0.443,0.444,0.00552,0.153,-8.352,0.0327,183.26,3
154,Highway Man Blues,Feel the Blues 2014 Remix,Jimmy Dawkins,2014-08-04,458346,25,0.383,0.293,0.383,0.584,0.000315,0.171,-8.807,0.0352,173.99,3
155,Cold Wind,When She Whispers Your Name,Buck69,2007-01-01,352440,19,0.373,0.441,0.373,0.558,0.0374,0.241,-5.432,0.0289,176.619,3
156,Lose Lose,Method To My Madness,Tommy Castro,2015-10-23,317093,0,0.412,0.241,0.412,0.645,0.00293,0.0884,-4.561,0.0389,169.754,3
157,Softly Let Me Kiss Your Lips,Eyes Wide Open,Murali Coryell,2000-01-01,544133,30,0.58,0.398,0.58,0.243,0.000695,0.109,-12.118,0.0527,130.659,3
158,Blues At My Baby's House,DJ Play My Blues,Buddy Guy,1982-01-01,423586,16,0.568,0.253,0.568,0.532,0.0357,0.076,-7.479,0.0364,95.884,3
159,Hold You Tight,Hear My Melody,Hughes Taylor,2016-01-05,397120,17,0.572,0.356,0.572,0.465,6.65e-05,0.129,-5.383,0.0321,134.804,3
160,Everytime I Get to Drinking,"I Didn't Give a Damn If Whites Bought It, Vol. 4",Various Artists,2013-04-08,255506,24,0.422,0.573,0.422,0.313,0.0076,0.16,-16.143,0.0489,187.49,3
161,Lonesome In My Bedroom,They Call Me the Popcorn Man (France 1975) [Blues Reference],Luther Johnson,1975,385600,45,0.676,0.471,0.676,0.249,0.00712,0.128,-13.598,0.0349,79.828,3
162,Give Me Strength,Eric Clapton Blues,Eric Clapton,1999-01-01,171666,0,0.559,0.775,0.559,0.173,0.0888,0.112,-18.598,0.0358,137.817,4
